fips,PST045214,PST045213,PST040210,PST120214,PST120213,POP010210,AGE135213,AGE295213,AGE775213,SEX255213,RHI125213,RHI225213,RHI325213,RHI425213,RHI525213,RHI625213,RHI725213,RHI825213,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010213,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010212,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030213,LND110210,POP060210
31087,2901,2873,2908,-0.2,-1.2,2908,5.5,20.9,23.7,49.9,97.9,0.2,0.6,0.1,0.0,1.2,2.3,95.8,90.5,1.2,2.4,92.9,13.8,310,17.8,1733,73.3,2.9,62300,1366,2.07,23554,39702,15.5,67,382,-3.0,246,304,0.0,0.0,0.0,0.0,0.0,15.1,0,18708,0,0,1048,0,709.94,4.1
31089,10403,10438,10435,-0.3,0.0,10435,6.9,23.6,21.0,50.4,98.2,0.2,0.6,0.3,0.1,0.7,3.8,94.8,90.6,2.0,3.3,90.1,19.0,821,14.3,5198,74.5,8.2,90500,4469,2.29,24120,44427,10.2,419,3466,0.1,1191,1258,0.0,0.0,0.0,0.0,0.0,20.0,0,149328,143200,13980,10151,21,2412.40,4.3
31091,728,732,736,-1.1,-0.5,736,5.8,20.6,28.2,51.8,97.4,0.0,1.8,0.0,0.1,0.7,0.9,96.5,92.8,1.1,1.6,95.1,24.7,73,18.3,431,85.4,5.3,63300,295,2.21,20737,39327,12.8,32,0,0.0,92,100,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,721.12,1.0
31093,6362,6341,6274,1.4,1.1,6274,6.0,23.5,19.7,49.2,97.9,0.3,0.5,0.3,0.1,1.0,2.3,95.9,89.5,0.7,2.3,92.4,17.8,608,23.8,2983,79.4,7.1,101200,2576,2.43,26770,49088,10.3,150,949,-2.9,529,551,0.0,0.0,0.0,0.0,0.0,0.0,0,38383,48446,7498,2849,18,569.34,11.0
31095,7335,7547,7547,-2.8,0.0,7547,5.3,22.2,22.1,50.4,97.5,0.5,0.4,0.3,0.0,1.2,3.3,94.5,88.9,0.6,3.3,89.1,13.5,641,19.2,3895,78.2,7.1,70400,3301,2.25,24777,44843,13.6,237,2628,-0.2,517,0,0.0,0.0,0.0,0.0,0.0,0.0,127852,138991,124811,16744,6353,7,570.19,13.2
31097,5185,5129,5217,-0.6,-1.7,5217,4.9,19.9,17.4,41.8,90.5,5.7,1.3,1.6,0.0,0.9,10.1,81.1,86.1,5.3,9.2,87.9,12.8,462,25.5,2167,74.0,7.6,75300,1926,2.17,19435,42364,13.7,117,937,4.0,290,260,0.0,0.0,0.0,0.0,0.0,0.0,0,0,34432,6828,3089,1,376.05,13.9
31099,6644,6553,6489,2.4,1.0,6489,6.1,24.1,19.0,51.0,98.1,0.2,0.4,0.3,0.0,0.9,4.8,93.8,83.6,2.4,4.8,91.4,26.4,590,19.2,2911,73.3,7.0,96400,2621,2.44,27796,56466,4.9,173,1957,0.1,462,463,0.0,0.0,0.0,0.0,0.0,0.0,0,151673,29729,4523,2798,21,516.24,12.6
31101,8121,8121,8368,-3.0,-3.0,8368,4.6,20.9,22.8,50.2,96.9,0.5,0.7,0.5,0.0,1.3,6.2,91.5,81.6,1.8,3.1,92.0,20.4,738,15.3,5353,70.0,6.3,91500,3786,2.15,25097,41970,11.2,342,2631,-2.5,791,1053,0.0,0.0,0.0,0.0,0.0,26.4,0,54687,203776,25472,22762,13,1061.60,7.9
31103,810,797,824,-1.7,-3.3,824,4.8,19.1,28.2,50.6,99.1,0.0,0.1,0.1,0.0,0.6,0.5,98.9,95.7,0.1,0.9,92.0,17.2,58,16.6,542,81.4,2.7,80000,354,1.97,25251,36923,15.5,21,0,0.0,106,152,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,773.07,1.1
31105,3713,3687,3821,-2.8,-3.5,3821,6.2,22.0,22.6,49.8,95.1,0.2,1.8,0.9,0.1,1.9,8.2,88.2,86.1,2.2,6.2,84.8,16.4,379,16.6,1934,66.1,10.6,77900,1641,2.27,24565,42180,13.0,129,1017,-8.5,283,464,0.0,0.0,0.0,0.0,0.0,0.0,0,0,49041,13589,3056,0,951.85,4.0
